,display,Test image A,Test image B,left,right,work,shirk,noninspect,worked,inspected,shirked,noninspected,randomise_trials,Likert,trace
0,intro,,,,,,,,,,,,0,,1
1,attention,,,,,,,,,,,,1,,1
2,attention,,,,,,,,,,,,1,,1
3,attention,,,,,,,,,,,,1,,1
4,attention,,,,,,,,,,,,1,,1
5,attention,,,,,,,,,,,,1,,1
6,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
7,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
8,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
9,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
10,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
11,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
12,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
13,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
14,trials,s0.PNG,i0.PNG,0,1,1,0,0,w0.PNG,in0.PNG,sh0.PNG,n0.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
15,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
16,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
17,trials,s1.PNG,i1.PNG,1,0,1,0,0,w1.PNG,in1.PNG,sh1.PNG,n1.PNG,1,"1, 2, 3, 4, 5, 6, 7",1
